("hopes", [1])
("hornmad", [2])
("horse", [1])
("host", [3])
("hostess", [1])
("hosts", [1])
("hot", [3])
("hound", [1])
("hour", [13])
("hours", [5])
("house", [25])
("housed", [4])
("houses", [1])
("how", [37])
("hoy", [1])
("huge", [1])
("human", [1])
("humour", [5])
("humours", [1])
("hundred", [4])
("hungry", [1])
("hurl", [1])
("hurried", [1])
("hurt", [1])
("husband", [28])
("husbands", [2])
("i", [469])
("idiot", [1])
("idle", [2])
("idly", [1])
("if", [59])
("ignorant", [1])
("ii", [5])
("iii", [2])
("ill", [39])
("illfaced", [1])
("illusions", [1])
("im", [1])
("imaginary", [1])
("imagination", [1])
("immediate", [1])
("immediately", [2])
("impatience", [1])
("impeach", [2])
("important", [1])
("importuned", [2])
("importunes", [1])
("imposed", [1])
("imprisonment", [1])
("in", [222])
("incessant", [1])
("incivility", [1])
("incorporate", [1])
("increased", [1])
("indeed", [3])
("indies", [1])
("indignities", [1])
("indignity", [1])
("indued", [1])
("infect", [1])
("infectious", [1])
("infinite", [1])
("infringe", [1])
("inhabit", [2])
("injury", [2])
("ink", [1])
("inn", [3])
("inquisitive", [2])
("inspiration", [1])
("instance", [2])
("instant", [2])
("intellectual", [1])
("intestine", [1])
("into", [7])
("intricate", [1])
("intrusion", [2])
("invisible", [1])
("invite", [1])
("invited", [2])
("ire", [1])
("ireful", [1])
("ireland", [1])
("iron", [1])
("is", [141])
("ist", [1])
("it", [158])
("iv", [2])
("ivy", [1])
("jars", [1])
("jealous", [3])
("jealousy", [2])
("jeer", [1])
("jest", [8])
("jests", [2])
("jewel", [1])
("jewels", [1])
("jollity", [1])
("joy", [1])
("joyful", [1])
("judgement", [1])
("juggler", [1])
("jugglers", [1])
("just", [2])
("justice", [5])
("justly", [1])
("keep", [8])
("keepest", [1])
("keeps", [2])
("kept", [3])
("key", [2])
("kick", [1])
("kickd", [1])
("kill", [2])
("killed", [1])
("kind", [2])
("kindness", [1])
("kindnesses", [1])
("kinsman", [1])
("kitchen", [1])
("kitchend", [1])
("kitchenmaid", [1])
("kitchenvestal", [1])
("knave", [4])
("knaves", [1])
("kneel", [1])
("knew", [2])
("knock", [4])
("know", [42])
("knowing", [2])
("knowledge", [1])
("known", [1])
("knows", [4])
("knowst", [3])
("labour", [3])
("labourd", [1])
("lady", [3])
("laid", [3])
("lamed", [1])
("lamp", [1])
("lamps", [1])
("land", [2])
("lands", [1])
("lapland", [1])
("lapwing", [1])
("large", [2])
("lashd", [1])
("last", [5])
("late", [4])
("lately", [1])
("latterborn", [1])
("laugh", [2])
("law", [2])
("laws", [3])
("lay", [4])
("lays", [2])
("lead", [2])
("league", [2])
("leagues", [1])
("lean", [1])
("leanfaced", [1])
("learn", [2])
("leather", [2])
("leave", [8])
("left", [11])
("leisure", [2])
("length", [2])
("less", [2])
("lesser", [2])
("lest", [6])
("let", [33])
("lets", [4])
("lettersthis", [1])
("levied", [1])
("liberties", [1])
("liberty", [6])
("licentious", [1])
("lie", [1])
("liege", [3])
("lies", [1])
("liest", [1])
("life", [17])
("lifeless", [1])
("lifepreserving", [1])
("light", [10])
("lightens", [1])
("lightly", [1])
("like", [21])
("likewise", [1])
("limbo", [1])
("limit", [1])
("lingerd", [1])
("list", [1])
("little", [2])
("live", [6])
("lived", [1])
("lives", [4])
("livest", [1])
("lo", [1])
("loath", [1])
("loathsome", [1])
("lock", [2])
("lockd", [6])
("locking", [1])
("long", [17])
("longer", [4])
("look", [10])
("lookd", [2])
