("", [11])
("divorce", [1])
("divorced", [1])
("divulged", [1])
("do", [157])
("doctor", [3])
("doctrine", [1])
("doer", [1])
("does", [23])
("doest", [1])
("dog", [5])
("dogged", [1])
("dogs", [2])
("doing", [2])
("dolphins", [1])
("done", [23])
("doom", [1])
("doomd", [1])
("doomsday", [1])
("door", [14])
("doors", [12])
("dormouse", [1])
("dost", [23])
("dot", [3])
("dote", [4])
("doth", [29])
("doting", [1])
("double", [2])
("doubled", [1])
("doubledealer", [1])
("doubledealing", [1])
("doublet", [1])
("doubt", [5])
("doubtful", [2])
("doubtfully", [2])
("dove", [1])
("down", [15])
("dowry", [2])
("dowsabel", [1])
("dram", [1])
("draught", [2])
("draw", [16])
("drawest", [1])
("drawn", [5])
("draws", [1])
("dream", [8])
("dressed", [2])
("drew", [8])
("drift", [1])
("drink", [11])
("drinking", [4])
("drive", [1])
("driven", [1])
("drives", [2])
("driving", [1])
("drizzled", [1])
("dromio", [219])
("dromios", [1])
("drone", [1])
("drop", [8])
("dropped", [1])
("dross", [1])
("drown", [2])
("drownd", [1])
("drowned", [6])
("drowns", [1])
("drudge", [1])
("drugs", [1])
("drunk", [4])
("drunkard", [1])
("drunken", [5])
("drunkenness", [2])
("dry", [8])
("dryfoot", [1])
("dubbed", [1])
("ducats", [12])
("due", [6])
("duello", [1])
("duke", [108])
("dukes", [3])
("dulcet", [1])
("dull", [4])
("dumbness", [1])
("durance", [2])
("during", [1])
("durst", [1])
("dust", [1])
("dutchmans", [1])
("duty", [4])
("dwell", [2])
("dwelt", [1])
("dying", [1])
("each", [4])
("ear", [8])
("earlier", [1])
("early", [2])
("earned", [1])
("earnest", [2])
("ears", [11])
("earth", [6])
("earths", [2])
("earthygross", [1])
("easily", [1])
("easy", [2])
("eat", [4])
("eater", [1])
("eating", [1])
("ebony", [1])
("echo", [1])
("ecstasy", [1])
("edified", [1])
("eeds", [1])
("eer", [4])
("effect", [2])
("egyptian", [1])
("egyptians", [1])
("eight", [1])
("eighteen", [1])
("either", [12])
("elder", [2])
("eldest", [2])
("element", [3])
("elements", [2])
("elephant", [3])
("eleven", [1])
("ell", [1])
("elm", [1])
("eloquent", [1])
("else", [20])
("elsewhere", [2])
("elysium", [1])
("em", [4])
("embarkd", [1])
("embassy", [1])
("embellished", [1])
("embrace", [4])
("embraced", [1])
("embracements", [1])
("employment", [2])
("empty", [1])
("enamelled", [1])
("enchanting", [1])
("enchantment", [1])
("encounter", [1])
("encounterd", [1])
("end", [20])
("endeavour", [1])
("ended", [1])
("ends", [1])
("endue", [1])
("endure", [2])
("endwhat", [1])
("enemies", [3])
("enemy", [5])
("engaged", [1])
("england", [2])
("enjoy", [1])
("enlarge", [1])
("enmity", [1])
("enough", [18])
("enraged", [1])
("ensconce", [1])
("ensue", [2])
("enter", [89])
("entered", [1])
("enters", [2])
("entertain", [2])
("entertainest", [1])
("entertainment", [2])
("entrance", [2])
("entreat", [3])
("envy", [2])
("enwraps", [1])
("ephesus", [163])
("epidamnum", [7])
("epidaurus", [1])
("epistles", [2])
("equal", [1])
("equinoctial", [1])
("ere", [9])
("ergo", [1])
("err", [1])
("errand", [1])
("errest", [1])
("error", [3])
("errors", [2])
("escape", [2])
("establish", [1])
("estate", [4])
("esteemed", [1])
("estimable", [1])
("estimation", [1])
("estranged", [1])
("et", [1])
("eternal", [1])
("eunuch", [2])
("even", [27])
("evening", [2])
("event", [2])
("ever", [17])
("everlasting", [1])
("every", [19])
("everything", [1])
("everywhere", [1])
("eves", [1])
("evident", [1])
("evil", [4])
("evils", [1])
("exalted", [1])
("example", [1])
("exasperate", [1])
("exceed", [1])
("exceeding", [2])
("excellence", [1])
("excellencies", [1])
("excellent", [16])
("excellently", [3])
("except", [3])
("excepted", [1])
("exceptions", [1])
("excess", [1])
("excites", [1])
("excludes", [1])
("excrement", [1])
("excuse", [5])
("executed", [1])
("execution", [1])
("exempt", [1])
("exeunt", [36])
("exit", [52])
("expect", [1])
("expedition", [1])
("expense", [1])
("expenses", [1])
("experience", [1])
("exploits", [1])
("expose", [1])
("express", [1])
("expressure", [1])
("exquisite", [4])
("extend", [1])
("extent", [1])
("extort", [2])
("extracting", [1])
("extravagancy", [1])
("extremity", [3])
("exult", [1])
("eye", [21])
("eyeoffending", [1])
("eyes", [19])
("fabian", [73])
("fable", [1])
("face", [24])
("facit", [1])
("factors", [1])
("fadge", [1])
("fading", [1])
("fain", [1])
("fainting", [1])
("fair", [28])
("fairly", [3])
("fairs", [1])
("fairy", [1])
("faith", [24])
("faithfullst", [1])
("fall", [9])
("fallacy", [1])
("falling", [1])
("falls", [2])
("false", [12])
("falsehood", [1])
("falsing", [1])
("fame", [3])
("familiar", [1])
("familiarly", [1])
("famous", [1])
("fancies", [1])
("fancy", [3])
("fancys", [1])
("fangs", [1])
("fantastical", [1])
("far", [10])
("fare", [8])
("farewell", [9])
("fashion", [5])
("fast", [7])
("fasten", [1])
("fastend", [2])
("fat", [4])
("fatal", [2])
("fate", [2])
("fates", [2])
("father", [14])
("fathers", [1])
("fault", [8])
("faults", [2])
("favour", [12])
("favours", [3])
("fear", [18])
("fearful", [2])
("fearst", [2])
("feast", [5])
("feasted", [1])
("feather", [3])
("feathers", [1])
("feature", [2])
("fed", [1])
("fee", [1])
("feeble", [2])
("feed", [3])
("feeds", [1])
("feel", [6])
("feeling", [1])
("feelingly", [1])
("feelt", [1])
("feet", [4])
("feign", [1])
("feigned", [1])
("feigning", [1])
("fell", [3])
("fellow", [22])
("fellows", [1])
("felt", [2])
("feltst", [1])
("females", [1])
("fence", [1])
("fencer", [1])
("fencing", [1])
("fertile", [1])
("fervor", [1])
("feste", [1])
("festivity", [1])
("fetch", [17])
("fetter", [1])
("fever", [2])
("fiction", [1])
("fie", [9])
("field", [2])
("fiend", [7])
("fiery", [1])
("fight", [2])
("fighter", [1])
("filed", [1])
("filld", [2])
("fin", [2])
("find", [20])
("finder", [1])
("findest", [1])
("finds", [3])
("fine", [3])
("finem", [1])
("fineness", [1])
("finer", [1])
("finger", [3])
("fingers", [2])
("finished", [1])
("firago", [1])
("fire", [8])
("firenew", [1])
("firm", [1])
("first", [26])
("firstfor", [1])
("fish", [4])
("fishermen", [2])
("fishers", [1])
("fishes", [1])
("fit", [6])
("fits", [2])
("fittest", [1])
("five", [9])
("fivefold", [1])
("fixd", [1])
("fixed", [1])
("fixing", [1])
("flame", [1])
("flamecoloured", [1])
("flatter", [1])
("flatterer", [1])
("flattery", [1])
("flax", [1])
("flea", [1])
("fled", [2])
("fleet", [1])
("flesh", [5])
("fleshed", [1])
("flint", [1])
("floated", [1])
("floating", [1])
("flock", [1])
("flood", [3])
("flout", [2])
("flouting", [1])
("flower", [4])
("flowers", [1])
("fly", [6])
("foamy", [1])
("foes", [5])
("fog", [1])
("folded", [1])
("follow", [4])
("followd", [1])
("followed", [1])
("follower", [1])
("followers", [2])
("following", [2])
("follows", [3])
("folly", [6])
("follyfalln", [1])
("fond", [2])
("fondly", [1])
("food", [3])
("fool", [62])
("foolbeggd", [1])
("foolery", [3])
("fooling", [5])
("foolish", [10])
("foolishness", [1])
("fools", [10])
("foot", [4])
("football", [1])
("for", [353])
("forbear", [2])
("forbid", [2])
("force", [3])
("forced", [1])
("forehead", [2])
("foreknowledge", [1])
("forgive", [2])
("forgot", [2])
("forgotten", [1])
("forhere", [1])
("form", [4])
("formal", [2])
("formed", [1])
("former", [1])
("forms", [2])
("fors", [1])
("forsake", [1])
("forsooth", [1])
("forswear", [3])
("forswore", [3])
("forsworn", [2])
("fort", [7])
("forth", [15])
("forthwith", [1])
("fortified", [1])
("fortunateunhappy", [1])
("fortune", [11])
("fortunes", [10])
("fortuneteller", [1])
("forty", [4])
("forward", [1])
("foul", [3])
("found", [6])
("four", [6])
("fourteen", [1])
("fowl", [2])
("fowls", [3])
("fox", [2])
("frail", [1])
("frailty", [1])
("frame", [1])
("france", [2])
("frantic", [1])
("fraught", [1])
("fraughtage", [1])
("free", [7])
("freedom", [2])
("freely", [3])
("frenzy", [2])
("fresh", [6])
("fret", [1])
("friend", [12])
("friends", [9])
("fright", [3])
("from", [105])
("front", [1])
("frown", [3])
