("", [42])
("bettering", [1])
("betters", [4])
("between", [85])
("betweens", [3])
("betwixt", [15])
("beverage", [1])
("beware", [7])
("bewitchd", [1])
("bewitched", [1])
("beyond", [25])
("beyondsay", [1])
("bianca", [81])
("biancas", [4])
("biancos", [1])
("bias", [5])
("biasdrawing", [1])
("bibble", [1])
("bid", [127])
("bidden", [1])
("bidding", [11])
("biddy", [1])
("bide", [7])
("bides", [1])
("bids", [17])
("bidst", [3])
("bier", [1])
("bifold", [1])
("big", [24])
("bigger", [8])
("biggest", [1])
("bight", [1])
("bilberry", [1])
("bilbo", [2])
("bill", [8])
("billets", [1])
("billing", [1])
("billo", [1])
("billow", [3])
("billows", [1])
("bills", [5])
("binaca", [1])
("bind", [17])
("binds", [1])
("biondello", [74])
("birch", [1])
("bird", [14])
("birdbolt", [2])
("birdbolts", [1])
("birdingpieces", [1])
("birds", [11])
("biron", [192])
("birons", [1])
("birth", [33])
("birthchild", [1])
("birthday", [1])
("births", [1])
("biscuit", [2])
("bit", [2])
("bitchs", [1])
("bitchwolfs", [1])
("bite", [15])
("bites", [4])
("biting", [3])
("bits", [3])
("bitter", [21])
("bitterest", [1])
("bitterly", [1])
("bitterness", [3])
("bitumed", [2])
("blabbd", [1])
("blabs", [1])
("black", [32])
("blackamoor", [1])
("blackamoors", [2])
("blackberry", [1])
("blacker", [4])
("blackmonday", [1])
("blackness", [2])
("blackoppressing", [1])
("blacks", [1])
("bladders", [1])
("blades", [1])
("blame", [20])
("blamed", [1])
("blameless", [1])
("blank", [7])
("blanket", [1])
("blanks", [1])
("blaspheme", [1])
("blasphemous", [1])
("blasphemy", [2])
("blast", [2])
("blasted", [1])
("blasting", [1])
("blasts", [3])
("blaze", [1])
("blazed", [1])
("blazon", [3])
("blazonst", [1])
("bleach", [1])
("bleaching", [2])
("bleak", [2])
("bleared", [2])
("bleat", [4])
("bleated", [1])
("bleats", [1])
("bled", [1])
("bleed", [7])
("bleeding", [2])
("bleeds", [3])
("blemish", [4])
("blemishd", [1])
("blemishes", [1])
("blench", [4])
("blended", [1])
("blent", [2])
("bless", [31])
("blessd", [3])
("blessed", [22])
("blessedly", [1])
("blesseth", [1])
("blessing", [19])
("blessings", [4])
("blest", [27])
("blind", [24])
("blinded", [2])
("blindness", [2])
("blinking", [1])
("bliss", [5])
("blister", [3])
("blisterd", [1])
("blithe", [2])
("blither", [1])
("block", [9])
("blockish", [1])
("blocks", [2])
("blood", [143])
("bloodied", [1])
("bloodless", [2])
("bloods", [9])
("bloody", [32])
("bloom", [1])
("blossom", [4])
("blossoming", [1])
("blossoms", [2])
("blot", [5])
("blots", [1])
("blotted", [1])
("blow", [44])
("blowing", [3])
("blown", [9])
("blows", [22])
("blowst", [1])
("blue", [15])
("blueeyed", [1])
("blues", [1])
("bluish", [1])
("blunt", [11])
("blunts", [1])
("blurrd", [1])
("blurted", [1])
("blush", [16])
("blushed", [1])
("blushes", [5])
("blushing", [4])
("blustering", [1])
("blusters", [1])
("blustrous", [1])
("boar", [2])
("board", [11])
("boarded", [3])
("boarding", [1])
("boards", [1])
("boarspear", [1])
("boast", [12])
("boasting", [1])
("boasts", [1])
("boat", [5])
("boats", [5])
